Conditions,Outcome Measures
Covid19|SARS-CoV Infection,"[18F]F-AraG uptake in participants with convalescent COVID-19|[18F]F-AraG uptake in participants with convalescent COVID-19 over time|[18F]F-AraG uptake in participants with mild to severe COVID-19 symptoms|[18F]F-AraG uptake in female versus male participants, Reduction in SARS-CoV-2 Viral load|Reduction in Severity of COVID-19 Disease, Prevalence of COVID-19|PCR Conversion in Exposed Individuals, First occurrence of Virologically confirmed (RT-PCR positive) symptomatic cases of COVID-19.|First occurence of Virologically confirmed (RT-PCR positive) symptomatic cases of COVID-19 based on the case definition for the secondary efficacy symptomatic endpoint.|Virologically confirmed (RT-PCR positive) severe cases of COVID-19|Virologically confirmed COVID-19 cases of any severity occurring among participants 18 through 59 years of age and ≥60 years of age.|Virologically confirmed COVID-19 asymptomatic and symptomatic cases occurring from two weeks after the second vaccination.|Reactogenicity and Safety|The occurrence of enhanced respiratory disease episodes.|Immunogenicity: Lot-to-Lot consistency of three consecutive GMP Lots|Geometric Mean Titer (GMT) of SARS-CoV-2 Specific Neutralizing Antibody (nAb), COVID-19-related emergency room visit or COVID-19- related hospitalization, or death (any cause)|Disease Progression based on NIAID Score|Time to Disease Progression based on NIAID Score|Change from Baseline in Symptom Scores|Adverse Events, Rate of decline in viral load|Time to resolution of viral load|Comparison of proportion of subjects who are asymptomatic and symptomatic|Change in modified NEWS-2|Proportion of subjects with treatment emergent adverse events, Symptom Severity|Symptom progression, Composite outcome|All-cause mortality|ICU admission|Intubation|Cardiovascular complications, Mortality|Hospital Mortality|ICU Admission|days alive and free of vasopressors, ventilation, and renal replacement therapy|SOFA score|Acute cardiac injury|Severe adverse events, All-cause unplanned hospital admission for at least 24 hours or death|All-cause unplanned hospital admission for at least 24 hours|All-cause mortality|Time to recovery|Health status|Oxygen administration in the home setting|All-cause mortality at 1 year after randomization|Cardiovascular and thromboembolic complications|Symptom duration for each individual symptom|Duration of hospital admission for those admitted to hospital|Health services usage|Consumption of antibiotics|Participants' quality of life, Death or need for intubation, Prevalence of COVID-19 infection among French military professional aircrew|Predictive factors of COVID-19 infection|Techniques used for COVID-19 screening|Reasons for COVID-19 screening|Experienced symptoms of COVID-19|Medical care of COVID-19|Social consequences of the COVID-19 pandemic|Factors associated with pejorative consequences of the COVID-19 pandemic, Comparison of the percentage of clinically improved inpatients between D0 and D14, Hospital length of stay|Human metabolome and proteome, Decreased oxygenation|Emergency Department Utilization|Maximum symptom severity|Clinical Progression Scale|Time to meaningful recovery|Laboratory Outcome Subsidy, SARS-CoV-2 glycoprotein-specific antibodies titer|Seroconversion rate|IFN-gamma antigen-specific release|CD4+/CD8+ proliferating cells|Virus-neutralizing antibodies titer|Incidence and severity of adverse events, All-cause mortality|Incidence and course of symptoms of COVID-19 infection|Hospitalizations|Oxygen supplementation|Use of invasive mechanical ventilation|Intensive care unit length of stay, Viral Load Change from baseline|4-day trend in viral load change|Levels of live virus (viral infectivity titer)|The tolerability of the intervention measured using the validated Sino-nasal outcome test (SNOT-22) scale.|Compliance as measured by percent of expected washes completed|Compliance as measured by percentage of randomized participants that withdrew consent and elected not to continue in the study.|Acceptability of the intervention as measured by 7 item questionnaire based an acceptability framework described by Sekhon (2017), Clinical characteristics|Biological characteristics|Radiological characteristics|Number of patient hospitalised for Covid-19|Overall Inpatient Mortality|Requirement for mechanical ventilation|ICU Length of Stay (LOS)|Evolution of patient general state during hospitalisation|Biological tests, Development of database containing physiological, behavioral data in combination with SARS-CoV-2 infection|Correlation between SARS-CoV-2 infection and collected wearable data and self-reported data|Development of analytical models for real-time COVID-19 surveillance at the individual and population levels|Performance of the analytical models for real-time COVID-19 surveillance at the individual and population levels., Number of SARS-CoV-2 infections|Duration of symptoms|Maximum score on WHO Ordinal Scale|Time to onset of SARS-CoV-2 infection|Number of symptomatic SARS-CoV-2 infections|Number of asymptomatic SARS-CoV-2 infections|Peak score on modified Flu PRO, Need in biological therapy or/and respiratory support|Number of days spent in hospital|All-cause death, Change in COVID-19 Severity"
"Covid19|SARS-CoV Infection|ARDS|ARDS, Human",Change Extravascular Lung Water Index|Length of ICU Stay|Number of Ventilator-Free Days|30-day Survival|Creatinine Concentration|Glomerular Filtration Rate|New York Heart Association (NYHA) Functional Classification
"Covid19|SARS-CoV Infection|Burnout, Caregiver|Burnout, Professional",Professional burnout|Mindfulness level|Perceived stress level following the emotional stimulation|Parasympathetic flexibility evolution during emotional recall|Sympathetic tone at rest|Corticotropic activation at rest|Mood disorders (anxiety / depression)|Post-traumatic stress disorder|Sleep quality
Covid19|SARS-CoV Infection|Chronic Kidney Diseases,"The incidence of COVID-19|Incidence of mortality|Incidence of adverse events|Incidence of a combined endpoint of acute rejection or graft failure in patients after kidney transplantation|Incidence of HLA antibodies measured in blood|The antibody level against the SARS-CoV-2 Receptor Binding Domain measured in blood|The antibody level against SARS-CoV-2 Receptor Binding Domain, measured in blood"
Covid19|SARS-CoV Infection|Communicable Disease,Identifying positive COVID-19 IgG formation|Physician Prevalence of COVID-19 serum IgG|Household Member Prevalence of COVID-19 serum IgG|Physician Risk of Exposure|Physician and Household Member Transmission|Asymptomatic Infection|PPE Use and Positivity|Antibody Persistence
Covid19|SARS-CoV Infection|Corona Virus Infection,"Percentages of participants reporting solicited local adverse events|Percentages of participants reporting solicited systemic adverse events|Percentages of participants reporting adverse events|Percentages of participants reporting serious adverse events|Percentages of participants reporting medically attended adverse events|Percentages of participants reporting new onset of chronic disease|Percentages of participants with abnormal chemistry and hematology values|SARS-CoV-2 serum neutralizing antibody levels, expressed as GMTs|Changes in SARS-CoV-2 serum neutralizing titers from before vaccination to each subsequent time point, expressed as GMFRs|Percentages of participants achieving greater than or equal to 2-fold and 4-fold rises from before vaccination in SARS-CoV-2 serum neutralizing antibody levels|SARS-CoV-2 anti-S1, anti-RBD, and anti-N binding antibody levels, expressed as GMCs|Changes in SARS-CoV-2 anti-S1, anti-RBD, and anti-N binding antibody levels from before vaccination to each subsequent time point, expressed as GMFRs|Percentages of participants achieving greater than or equal to 2-fold and 4-fold rises from before vaccination in SARS-CoV-2 SARS-CoV-2 anti-S1, anti-RBD, and anti-N binding antibody levels"
Covid19|SARS-CoV Infection|Coronavirus Infection,Number of participants requiring hospitalization|Number of participants experiencing symptoms|Number of drug-related adverse events|Number of drug-related serious adverse events|All-cause mortality
Covid19|SARS-CoV Infection|Olfactory Disorder|Anosmia,To Assess the effectiveness of olfactory training therapy in the treatment of persistent olfactory dysfunctions after COVID-19|To Investigate by means of skull nuclear magnetic resonance (MRI) exams for possible neural correlates of olfactory dysfunctions present in post-COVID-19 patients|To Measure by means of a standardized olfactory test the olfactory dysfunctions present in post-COVID-19 patients|Propose an olfactory training protocol appropriate to the demands of patients with post-COVID-19 olfactory dysfunction and in accordance with the reality of Brazilian public health services
"Covid19|SARS-CoV Infection|Pneumonia, Viral",mortality|need for intensive care|length stay
"Covid19|SARS-CoV Infection|Pneumonia, Viral|Coagulopathy","All-cause mortality at day 28|All-cause mortality at ICU discharge|All-cause mortality at hospital discharge|Need of rescue administration of high-dose steroids or immune-modulatory drugs|New organ dysfunction during ICU stay|Grade of organ dysfunction during ICU stay|ICU free days at day 28|Occurrence of new infections|Ventilation free days at day 28|Vasopressors free-days at day 28|Switch from non-invasive to invasive mechanical ventilation|Delay from start of non-invasive ventilation to switch to invasive ventilation|Occurrence of protocol related adverse events|Occurrence of venous thromboembolism, stroke or myocardial infarction|Occurrence of major bleeding (safety end point)|Occurrence of clinically relevant non-major bleeding (safety end point)"
Covid19|SARS-CoV Infection|Pulmonary Rehabilitation|Quality of Life,Change in 6-minute walk distance|change in endurance shuttle walk distance|Change in Diffusion capacity of the lungs for Carbon monoxide|Change in Forced Vital Capacity|Change in total lung capacity|change in Montreal cognitive assessment test|change in short-form 36 question health survey|change in Patient-Reported Outcomes Measurement Information System - 29 (PROMIS-29)|Change in the scale of general anxiety disorder - 7 questionnaire (GAD-7)|Change in the scale of the patient health questionnaire - Depression (PHQ-D)|Change in prevalence of COVID-19 related dyspnea|Change in prevalence of COVID-19 related cough|Change in prevalence of COVID-19 related cognitive impairment|Change in prevalence of COVID-19 related loss of appetite|Change in general perceived well-being|change in D-Dimer level|change in c-reactive protein level|change in leukocytes level|change in hemoglobin level|change in troponin level|change in pro-brain natriuretic peptide level
"Covid19|SARS-CoV Infection|Resistance, Disease|Hypothermia|Hypothermia Due to Cold Environment","Assessment of the incidence of COVID-19 among ice swimmers compared to the general population.|Assessment of the frequency of asymptomatic SARS-CoV-2 infection among ice swimmers compared to the general population.|Assessment of the frequency of occurrence of particular symptoms of SARS-CoV-2 infection among ice swimmers compared to the general population.|Assessment of the frequency of COVID-19 treatment in an outpatient, inpatient and intensive care unit among ice swimmers compared to the general population.|Assessment of the impact of parameters and ice swimming strategies on the likelihood of developing COVID-19, the occurrence of individual symptoms of the disease and the severity of its course.|Assessment of the influence of blood group on susceptibility to SARS-CoV-2 infection among ice swimmers.|Assessment of the immunity of the ice swimmer's immune system compared to the general population."
